C2H6,FREEZE,,#C2H6,,,,1,0,0
CH2OH,FREEZE,,#CH2OH,,,,1,0,0
CH2OHCHO,FREEZE,,#CH2OHCHO,,,,1,0,0
CH2OHNH2,FREEZE,,#CH2OHNH2,,,,1,0,0
CH3,FREEZE,,#CH3,,,,1,0,0
CH3CH3O,FREEZE,,#CH3CH3O,,,,1,0,0
CH3CHO,FREEZE,,#CH3CHO,,,,1,0,0
CH3NH2,FREEZE,,#CH3NH2,,,,1,0,0
CH3O,FREEZE,,#CH3O,,,,1,0,0
CH3OCH3O,FREEZE,,#CH3OCH3O,,,,1,0,0
H2,FREEZE,,#H2,,,,1,0,0
HCONH2,FREEZE,,#HCONH2,,,,1,0,0
HCOOH,FREEZE,,#HCOOH,,,,1,0,0
NH2,FREEZE,,#NH2,,,,1,0,0
NH2OH,FREEZE,,#NH2OH,,,,1,0,0
OH,FREEZE,,#OH,,,,1,0,0
CH3OOH,FREEZE,,#CH3OOH,,,,1,0,0
CH2OHOH,FREEZE,,#CH2OHOH,,,,1,0,0
CH3ONH2,FREEZE,,#CH3ONH2,,,,1,0,0
CH3OCH2OH,FREEZE,,#CH3OCH2OH,,,,1,0,0
(CH2OH)2,FREEZE,,#(CH2OH)2,,,,1,0,0
#C2H6,DEUVCR,,C2H6,,,,1,0,4387
#CH2OH,DEUVCR,,CH2OH,,,,1,0,4400
#CH2OHCHO,DEUVCR,,CH2OHCHO,,,,1,0,6000
#CH2OHNH2,DEUVCR,,CH2OHNH2,,,,1,0,7600
#CH3,DEUVCR,,CH3,,,,1,0,1175
#CH3CH3O,DEUVCR,,CH3CH3O,,,,1,0,5000
#CH3CHO,DEUVCR,,CH3CHO,,,,1,0,2775
#CH3NH2,DEUVCR,,CH3NH2,,,,1,0,5131
#CH3O,DEUVCR,,CH3O,,,,1,0,2500
#CH3OCH3O,DEUVCR,,CH3OCH3O,,,,1,0,5000
#H2,DEUVCR,,H2,,,,1,0,440
#HCONH2,DEUVCR,,HCONH2,,,,1,0,5556
#HCOOH,DEUVCR,,HCOOH,,,,1,0,5570
#NH2,DEUVCR,,NH2,,,,1,0,3200
#NH2OH,DEUVCR,,NH2OH,,,,1,0,6806
#OH,DEUVCR,,OH,,,,1,0,2850
#CH3OOH,DEUVCR,,CH3OOH,,,,1,0,5350
#CH2OHOH,DEUVCR,,CH2OHOH,,,,1,0,7250
#CH3ONH2,DEUVCR,,CH3ONH2,,,,1,0,5700
#CH3OCH2OH,DEUVCR,,CH3OCH2OH,,,,1,0,6900
#(CH2OH)2,DEUVCR,,(CH2OH)2,,,,1,0,8800
#C2H6,DESOH2,,C2H6,,,,1,0,4387
#CH2OH,DESOH2,,CH2OH,,,,1,0,4400
#CH2OHCHO,DESOH2,,CH2OHCHO,,,,1,0,6000
#CH2OHNH2,DESOH2,,CH2OHNH2,,,,1,0,7600
#CH3,DESOH2,,CH3,,,,1,0,1175
#CH3CH3O,DESOH2,,CH3CH3O,,,,1,0,5000
#CH3CHO,DESOH2,,CH3CHO,,,,1,0,2775
#CH3NH2,DESOH2,,CH3NH2,,,,1,0,5131
#CH3O,DESOH2,,CH3O,,,,1,0,2500
#CH3OCH3O,DESOH2,,CH3OCH3O,,,,1,0,5000
#H2,DESOH2,,H2,,,,1,0,440
#HCONH2,DESOH2,,HCONH2,,,,1,0,5556
#HCOOH,DESOH2,,HCOOH,,,,1,0,5570
#NH2,DESOH2,,NH2,,,,1,0,3200
#NH2OH,DESOH2,,NH2OH,,,,1,0,6806
#OH,DESOH2,,OH,,,,1,0,2850
#CH3OOH,DESOH2,,CH3OOH,,,,1,0,5350
#CH2OHOH,DESOH2,,CH2OHOH,,,,1,0,7250
#CH3ONH2,DESOH2,,CH3ONH2,,,,1,0,5700
#CH3OCH2OH,DESOH2,,CH3OCH2OH,,,,1,0,6900
#(CH2OH)2,DESOH2,,(CH2OH)2,,,,1,0,8800
#C2H6,DESCR,,C2H6,,,,1,0,4387
#CH2OH,DESCR,,CH2OH,,,,1,0,4400
#CH2OHCHO,DESCR,,CH2OHCHO,,,,1,0,6000
#CH2OHNH2,DESCR,,CH2OHNH2,,,,1,0,7600
#CH3,DESCR,,CH3,,,,1,0,1175
#CH3CH3O,DESCR,,CH3CH3O,,,,1,0,5000
#CH3CHO,DESCR,,CH3CHO,,,,1,0,2775
#CH3NH2,DESCR,,CH3NH2,,,,1,0,5131
#CH3O,DESCR,,CH3O,,,,1,0,2500
#CH3OCH3O,DESCR,,CH3OCH3O,,,,1,0,5000
#H2,DESCR,,H2,,,,1,0,440
#HCONH2,DESCR,,HCONH2,,,,1,0,5556
#HCOOH,DESCR,,HCOOH,,,,1,0,5570
#NH2,DESCR,,NH2,,,,1,0,3200
#NH2OH,DESCR,,NH2OH,,,,1,0,6806
#OH,DESCR,,OH,,,,1,0,2850
#CH3OOH,DESCR,,CH3OOH,,,,1,0,5350
#CH2OHOH,DESCR,,CH2OHOH,,,,1,0,7250
#CH3ONH2,DESCR,,CH3ONH2,,,,1,0,5700
#CH3OCH2OH,DESCR,,CH3OCH2OH,,,,1,0,6900
#(CH2OH)2,DESCR,,(CH2OH)2,,,,1,0,8800
