10^4,65,38,10000,1.00E+16
10^4,60,38,4000,2.22E+17
10^3,60,380,4000,2.22E+18
10^4,45,33.8,2800,1.66E+17
10^5,45,3.4,5000,1.66E+16
10^6,45,0.3,5000,1.66E+15
5e10^4,45,6.7,6500,1.00E+16
10^5,40,4.6,4000,1.48E+16
10^3,40,455,2200,1.48E+18
10^4,40,45.5,2200,1.48E+17
10^6,40,0.5,4000,1.48E+15
10^5,35,4.6,3200,1.30E+16
10^3,30,440,1800,1.11E+18
10^4,30,44,1800,1.11E+17
10^6,30,0.4,2000,1.11E+18
10^5,30,4.4,2000,1.11E+16
10^4,25,49,1200,9.25E+16
10^5,25,4.9,1500,9.25E+15
10^6,25,0.5,1500,9.25E+14
10^3,20,570,900,7.40E+17
10^4,20,57,900,7.40E+16
10^5,20,5.7,800,7.40E+15
10^4,15,68,600,5.55E+16
10^5,15,6.8,550,5.55E+15
10^6,15,0.7,550,5.55E+14
10^4,10,10.5,300,3.70E+16
10^3,10,954,300,3.70E+17
10^4,10,10.5,300,3.70E+16
10^5,10,10.5,300,3.70E+15
10^4,10,95.4,300,3.70E+16
