H,1,1
H+,1,1
H2,2,2
H2+,2,2
H3+,3,3
HE,4,1
HE+,4,1
HEH+,5,2
C,12,1
C+,12,1
CH,13,2
CH+,13,2
CH2,14,3
CH2+,14,3
N,14,1
N+,14,1
CH3,15,4
CH3+,15,4
NH,15,2
NH+,15,2
#CH4,16,5
CH4,16,5
CH4+,16,5
NH2,16,3
NH2+,16,3
O,16,1
O+,16,1
#NH3,17,4
CH5+,17,6
NH3,17,4
NH3+,17,4
OH,17,2
OH+,17,2
#H2O,18,3
H2O,18,3
H2O+,18,3
NH4+,18,5
H3O+,19,4
C2,24,2
C2+,24,2
MG,24,1
MG+,24,1
#C2,24,2
#MG,24,1
C2H,25,3
C2H+,25,3
#C2H,25,3
#C2H2,26,4
C2H2,26,4
C2H2+,26,4
CN,26,2
CN+,26,2
#HCN,27,3
#HNC,27,3
C2H3,27,5
HCN,27,3
HCN+,27,3
HNC,27,3
#C2H3,27,5
#CO,28,2
#N2,28,2
#C2H4,28,6
C2H4,28,6
CO,28,2
CO+,28,2
H2CN,28,4
HCNH+,28,4
N2,28,2
N2+,28,2
SI,28,1
SI+,28,1
#H2CN,28,4
C2H5,29,7
HCO,29,3
HCO+,29,3
HOC+,29,3
N2H+,29,3
SIH,29,2
SIH+,29,2
#C2H5,29,7
#NO,30,2
#H2CO,30,4
H2CO,30,4
H2CO+,30,4
NO,30,2
NO+,30,2
SIH2,30,3
SIH2+,30,3
H3CO+,31,5
HNO,31,3
HNO+,31,3
SIH3,31,4
SIH3+,31,4
#HNO,31,3
#O2,32,2
#CH3OH,32,6
#SIH4,32,5
CH3OH,32,6
H2NO+,32,4
O2,32,2
O2+,32,2
S,32,1
S+,32,1
SIH4,32,5
SIH4+,32,5
CH3OH2+,33,7
HS,33,2
HS+,33,2
O2H,33,3
O2H+,33,3
SIH5+,33,6
#O2H,33,3
#H2S,34,3
H2S,34,3
H2S+,34,3
CL,35,1
CL+,35,1
H3S+,35,4
#HCL,36,2
C3+,36,3
HCL,36,2
HCL+,36,2
H2CL+,37,3
C2N,38,3
C2N+,38,3
C3H2,38,5
#C3H2,38,5
C2NH+,39,4
#CH3CCH,40,7
CH3CCH,40,7
SIC,40,2
SIC+,40,2
#SIC,40,2
#CH3CN,41,6
C3H5+,41,8
CH3CN,41,6
#CH2CO,42,5
#CH3CNH,42,7
CH2CO,42,5
CH3CNH,42,7
CH3CNH+,42,7
OCN,42,3
#HNCO,43,4
HNCO,43,4
#SIO,44,2
#CS,44,2
#CO2,44,3
CO2,44,3
CS,44,2
CS+,44,2
SIO,44,2
SIO+,44,2
HCO2+,45,4
HCS,45,3
HCS+,45,3
SIOH+,45,3
#C2H5OH,46,9
#H2CS,46,4
#NO2,46,3
#NS,46,2
#H2SIO,46,4
C2H5OH,46,9
H2CS,46,4
H2CS+,46,4
H2SIO,46,4
NO2,46,3
NS,46,2
NS+,46,2
C2H5OH2+,47,10
H3CS+,47,5
HNS+,47,3
#SO,48,2
SO,48,2
SO+,48,2
C4H,49,5
HSO+,49,3
#C4H,49,5
C3N,50,4
#HC3N,51,5
HC3N,51,5
C2N2+,52,4
NCCN,52,4
SIC2,52,3
SIC2+,52,3
#NCCN,52,4
#SIC2,52,3
#HCOOCH3,60,8
#SIS,60,2
#OCS,60,3
HCOOCH3,60,8
OCS,60,3
OCS+,60,3
SIS,60,2
SIS+,60,2
H5C2O2+,61,9
HOCS+,61,4
HSIS+,61,3
C4N,62,5
C4N+,62,5
#C4N,62,5
#SIC3,64,4
SIC3+,64,4
SIC3,64,4
#SO2,64,3
S2,64,2
S2+,64,2
SO2+,64,3
SO2,64,3
HS2,65,3
HS2+,65,3
HSO2+,65,4
H2S2+,66,4
E-,0,1
